.START
..refdes	device	value	tolerance	comment	footprint	quantity
U1	74163	unknown	unknown	unknown	DIP16	1
U10	7486	unknown	unknown	unknown	DIP14	1
U11	7486	unknown	unknown	unknown	DIP14	1
U12	74273	unknown	unknown	unknown	DIP20	1
U13	74273	unknown	unknown	unknown	DIP20	1
U14	74273	unknown	unknown	unknown	DIP20	1
U15	74273	unknown	unknown	unknown	DIP20	1
U16	7473	unknown	unknown	unknown	DIP14	1
U17	7473	unknown	unknown	unknown	DIP14	1
U18	74163	unknown	unknown	unknown	DIP16	1
U19	74138	unknown	unknown	unknown	DIP16	1
U2	74163	unknown	unknown	unknown	DIP16	1
U20	7400	unknown	unknown	unknown	DIP14	1
U21	7420	unknown	unknown	unknown	DIP14	1
U22	7485	unknown	unknown	unknown	DIP16	1
U23	7485	unknown	unknown	unknown	DIP16	1
U24	VTXO	unknown	unknown	unknown	unknown	1
U4	74283	unknown	unknown	unknown	DIP16	1
U5	74283	unknown	unknown	unknown	DIP16	1
U6	74273	unknown	unknown	unknown	DIP20	1
U7	7400	unknown	unknown	unknown	DIP14	1
U8	74138	unknown	unknown	unknown	DIP16	1
U9	7486	unknown	unknown	unknown	DIP14	1
.END
